//  Event/ maxParameters  modParameters  minParameters(separated by semicolons)
//  pearameters: age friends knowledge money sanity hunger health (separated by comma)
//
Pidutse;  98,100,100,100,1,1,1;    1,1,0,-1,-0.1,0.1,-0.05;    1,0,0,1,0,0,0.5
Õpi;  98,100,100,100,1,1,1;      1,0,1,0,-0.05,-0.1,0;         1,0,0,0,0.5,0,0.5
Maga;  98,100,100,100,0.8,1,1;   1,0,0,0,0.5,-0.1,0.1;         1,0,0,0,0,0.1,0
Proge;98,100,100,100,1,1,1;    1,0,2,3,-0.09,-0.04,-0.05;      1,0,5,0,0,0.2,0
Söö;	98,100,100,100,1,0.6,1;	1,0,0,-0.5,0,0.4,0.05;	    1,0,0,0,0,0,0
Tööta; 98,100,100,100,1,1,1;		1,0,0.5,2,-0.06,-0.1,-0.01;	1,0,0,0,0.2,0.2,0.2
Sure; 98,200,200,200,1,1,1;        -100,0,0,0,0,0,0;           99,0,0,0,0,0,0
Sünni; 1,200,200,200,1,1,1;         1,0,0,0,0,0,0;              0,0,0,0,0,0,0



